Anchor,A,B,Label
Artificial Intelligence,Computation and Language,Computational Complexity,B
Artificial Intelligence,Computation and Language,Multimedia,A
Artificial Intelligence,Computational Geometry,Information Theory,A
Artificial Intelligence,Computational Geometry,Systems and Control,A
Artificial Intelligence,Computer Vision and Pattern Recognition,Symbolic Computation,A
Artificial Intelligence,Cryptography and Security,Symbolic Computation,A
Artificial Intelligence,Digital Libraries,Computational Geometry,B
Artificial Intelligence,Digital Libraries,Software Engineering,B
Artificial Intelligence,Discrete Mathematics,Graphics,A
Artificial Intelligence,Discrete Mathematics,Information Theory,A
Artificial Intelligence,Discrete Mathematics,Numerical Analysis,A
Artificial Intelligence,"Distributed, Parallel, and Cluster Computing",Graphics,0
Artificial Intelligence,Formal Languages and Automata Theory,Multimedia,A
Artificial Intelligence,Hardware Architecture,"Distributed, Parallel, and Cluster Computing",0
Artificial Intelligence,Hardware Architecture,Symbolic Computation,B
Artificial Intelligence,Human-Computer Interaction,Multimedia,A
Artificial Intelligence,Information Theory,Mathematical Software,B
Artificial Intelligence,Logic in Computer Science,Mathematical Software,B
Artificial Intelligence,Logic in Computer Science,Systems and Control,0
Artificial Intelligence,Mathematical Software,Computer Science and Game Theory,A
Artificial Intelligence,Multiagent Systems,Computational Geometry,B
Artificial Intelligence,Multiagent Systems,"Distributed, Parallel, and Cluster Computing",0
Artificial Intelligence,Multimedia,Mathematical Software,B
Artificial Intelligence,Operating Systems,Computational Complexity,B
Artificial Intelligence,Operating Systems,Sound,0
Artificial Intelligence,Computer Vision and Pattern Recognition,Symbolic Computation,A
Artificial Intelligence,Hardware Architecture,Symbolic Computation,B
Artificial Intelligence,Information Theory,Mathematical Software,A
Artificial Intelligence,Mathematical Software,Computer Science and Game Theory,B
Computation and Language,Robotics,Sound,0
Computation and Language,Human-Computer Interaction,Computational Geometry,A
Computation and Language,Human-Computer Interaction,Sound,A
Computation and Language,Human-Computer Interaction,Artificial Intelligence,B
Computation and Language,Human-Computer Interaction,Computer Vision and Pattern Recognition,B
Computation and Language,Human-Computer Interaction,Cryptography and Security,B
Computation and Language,Human-Computer Interaction,Mathematical Software,B
Computation and Language,Robotics,Artificial Intelligence,B
Computation and Language,Robotics,Machine Learning,B
Computation and Language,Sound,Information Theory,B
Computation and Language,Databases,Programming Languages,B
Computation and Language,Digital Libraries,Cryptography and Security,0
Computation and Language,Digital Libraries,Graphics,0
Computation and Language,Discrete Mathematics,Programming Languages,B
Computation and Language,Discrete Mathematics,Robotics,0
Computation and Language,"Distributed, Parallel, and Cluster Computing",Sound,0
Computation and Language,Formal Languages and Automata Theory,Computational Geometry,A
Computation and Language,Hardware Architecture,Computational Complexity,0
Computation and Language,Hardware Architecture,Computational Geometry,0
Computation and Language,Hardware Architecture,Logic in Computer Science,B
Computation and Language,Hardware Architecture,Multiagent Systems,0
Computation and Language,Hardware Architecture,Symbolic Computation,B
Computation and Language,Information Theory,Computer Vision and Pattern Recognition,0
Computation and Language,Logic in Computer Science,Systems and Control,A
Computation and Language,Machine Learning,Artificial Intelligence,A
Computation and Language,Machine Learning,Computer Science and Game Theory,A
Computation and Language,Machine Learning,Multimedia,A
Computation and Language,Multiagent Systems,Discrete Mathematics,0
Computation and Language,Multiagent Systems,Programming Languages,B
Computation and Language,Multiagent Systems,Software Engineering,0
Computation and Language,Multimedia,Information Retrieval,0
Computation and Language,Multimedia,Numerical Analysis,0
Computation and Language,Operating Systems,Artificial Intelligence,0
Computation and Language,Operating Systems,Information Retrieval,0
Computation and Language,Operating Systems,Systems and Control,0
Computational Complexity,Computation and Language,Software Engineering,B
Computational Complexity,Computational Geometry,Information Retrieval,0
Computational Complexity,Cryptography and Security,Computer Vision and Pattern Recognition,A
Computational Complexity,Cryptography and Security,Systems and Control,A
Computational Complexity,Databases,"Distributed, Parallel, and Cluster Computing",B
Computational Complexity,Databases,Formal Languages and Automata Theory,B
Computational Complexity,Databases,Information Theory,0
Computational Complexity,Discrete Mathematics,Information Retrieval,0
Computational Complexity,Discrete Mathematics,Operating Systems,0
Computational Complexity,"Distributed, Parallel, and Cluster Computing",Logic in Computer Science,A
Computational Complexity,Formal Languages and Automata Theory,Artificial Intelligence,A
