Anchor,A,B,Label
Artificial Intelligence,Computation and Language,Computational Geometry,A
Artificial Intelligence,Computation and Language,Cryptography and Security,A
Artificial Intelligence,Computation and Language,Formal Languages and Automata Theory,0
Artificial Intelligence,Computational Geometry,Computational Complexity,B
Artificial Intelligence,Computational Geometry,Symbolic Computation,B
Artificial Intelligence,Computer Science and Game Theory,Symbolic Computation,B
Artificial Intelligence,Digital Libraries,Information Retrieval,A
Artificial Intelligence,Discrete Mathematics,Cryptography and Security,A
Artificial Intelligence,Discrete Mathematics,Symbolic Computation,B
Artificial Intelligence,Discrete Mathematics,Systems and Control,A
Artificial Intelligence,Formal Languages and Automata Theory,Computer Vision and Pattern Recognition,0
Artificial Intelligence,Formal Languages and Automata Theory,Systems and Control,A
Artificial Intelligence,Hardware Architecture,Computer Science and Game Theory,0
Artificial Intelligence,Hardware Architecture,Logic in Computer Science,B
Artificial Intelligence,Hardware Architecture,Software Engineering,B
Artificial Intelligence,Human-Computer Interaction,Computer Vision and Pattern Recognition,B
Artificial Intelligence,Human-Computer Interaction,Logic in Computer Science,B
Artificial Intelligence,Information Retrieval,Symbolic Computation,B
Artificial Intelligence,Information Theory,Cryptography and Security,A
Artificial Intelligence,Information Theory,Graphics,A
Artificial Intelligence,Information Theory,Information Retrieval,0
Artificial Intelligence,Machine Learning,Computational Complexity,A
Artificial Intelligence,Machine Learning,Information Retrieval,A
Artificial Intelligence,Machine Learning,Multimedia,A
Artificial Intelligence,Mathematical Software,Networking and Internet Architecture,0
Artificial Intelligence,Multiagent Systems,Formal Languages and Automata Theory,B
Artificial Intelligence,Multiagent Systems,Operating Systems,0
Artificial Intelligence,Numerical Analysis,Symbolic Computation,0
Artificial Intelligence,Operating Systems,Computer Science and Game Theory,B
Artificial Intelligence,Operating Systems,Formal Languages and Automata Theory,B
Artificial Intelligence,Operating Systems,Multimedia,0
Artificial Intelligence,Programming Languages,Information Theory,B
Artificial Intelligence,Programming Languages,Systems and Control,0
Artificial Intelligence,Robotics,Operating Systems,A
Artificial Intelligence,Software Engineering,Computational Geometry,0
Computation and Language,Artificial Intelligence,Symbolic Computation,A
Computation and Language,Computational Geometry,Numerical Analysis,B
Computation and Language,Cryptography and Security,Artificial Intelligence,B
Computation and Language,Cryptography and Security,Systems and Control,0
Computation and Language,Digital Libraries,Computational Complexity,0
Computation and Language,Digital Libraries,Machine Learning,B
Computation and Language,Digital Libraries,Robotics,0
Computation and Language,Discrete Mathematics,Computational Geometry,A
Computation and Language,Discrete Mathematics,Machine Learning,B
Computation and Language,Discrete Mathematics,Systems and Control,A
Computation and Language,Formal Languages and Automata Theory,Symbolic Computation,A
Computation and Language,Formal Languages and Automata Theory,Systems and Control,A
Computation and Language,Graphics,Computer Science and Game Theory,B
Computation and Language,Graphics,Logic in Computer Science,0
Computation and Language,Hardware Architecture,Computer Vision and Pattern Recognition,B
Computation and Language,Human-Computer Interaction,Systems and Control,A
Computation and Language,Machine Learning,Mathematical Software,A
Computation and Language,Machine Learning,Networking and Internet Architecture,A
Computation and Language,Multiagent Systems,Information Theory,B
Computation and Language,Multiagent Systems,Mathematical Software,B
Computation and Language,Multimedia,Computer Vision and Pattern Recognition,B
Computation and Language,Operating Systems,Cryptography and Security,0
Computation and Language,Robotics,Cryptography and Security,A
Computation and Language,Robotics,Numerical Analysis,B
Computation and Language,Software Engineering,Computer Vision and Pattern Recognition,A
Computation and Language,Software Engineering,Systems and Control,A
Computation and Language,Sound,Information Retrieval,B
Computational Complexity,Computation and Language,Artificial Intelligence,A
Computational Complexity,Computation and Language,Formal Languages and Automata Theory,A
Computational Complexity,Computation and Language,Information Theory,A
Computational Complexity,Cryptography and Security,Mathematical Software,0
Computational Complexity,Databases,Robotics,B
Computational Complexity,Digital Libraries,Computational Geometry,0
Computational Complexity,Digital Libraries,Information Retrieval,0
Computational Complexity,Digital Libraries,Multiagent Systems,0
Computational Complexity,Digital Libraries,Networking and Internet Architecture,0
Computational Complexity,Digital Libraries,Numerical Analysis,B
Computational Complexity,Discrete Mathematics,Artificial Intelligence,A
Computational Complexity,Discrete Mathematics,Computational Geometry,A
Computational Complexity,Discrete Mathematics,Sound,A
Computational Complexity,"Distributed, Parallel, and Cluster Computing",Software Engineering,A
Computational Complexity,Formal Languages and Automata Theory,Information Retrieval,A
Computational Complexity,Graphics,Artificial Intelligence,B
Computational Complexity,Human-Computer Interaction,Graphics,0
Computational Complexity,Human-Computer Interaction,Numerical Analysis,0
Computational Complexity,Information Theory,Cryptography and Security,0
Computational Complexity,Machine Learning,Information Theory,A
Computational Complexity,Multiagent Systems,Computation and Language,0
Computational Complexity,Multiagent Systems,Cryptography and Security,0
Computational Complexity,Multiagent Systems,Formal Languages and Automata Theory,B
Computational Complexity,Multimedia,Graphics,0
Computational Complexity,Multimedia,Information Retrieval,B
Computational Complexity,Operating Systems,Cryptography and Security,0
Computational Complexity,Operating Systems,Mathematical Software,0
Computational Complexity,Programming Languages,Human-Computer Interaction,A
Computational Complexity,Programming Languages,Information Retrieval,A
Computational Complexity,Software Engineering,Networking and Internet Architecture,0
Computational Complexity,Sound,Symbolic Computation,B
Computational Complexity,Systems and Control,Symbolic Computation,B
Computational Geometry,Computation and Language,Information Retrieval,A
Computational Geometry,Computation and Language,Information Theory,A
Computational Geometry,Computer Science and Game Theory,Networking and Internet Architecture,A
Computational Geometry,Databases,Sound,A
Computational Geometry,Digital Libraries,Computation and Language,B
Computational Geometry,Digital Libraries,Information Theory,B
Computational Geometry,Digital Libraries,Networking and Internet Architecture,B
Computational Geometry,Digital Libraries,Operating Systems,0
Computational Geometry,Discrete Mathematics,Mathematical Software,A
Computational Geometry,"Distributed, Parallel, and Cluster Computing",Cryptography and Security,0
Computational Geometry,Formal Languages and Automata Theory,Information Theory,A
Computational Geometry,Hardware Architecture,Graphics,0
Computational Geometry,Hardware Architecture,Networking and Internet Architecture,0
Computational Geometry,Machine Learning,Information Theory,A
Computational Geometry,Machine Learning,Networking and Internet Architecture,A
Computational Geometry,Multimedia,Computer Vision and Pattern Recognition,B
Computational Geometry,Multimedia,Networking and Internet Architecture,0
Computational Geometry,Multimedia,Symbolic Computation,B
Computational Geometry,Numerical Analysis,Artificial Intelligence,A
Computational Geometry,Operating Systems,Computer Vision and Pattern Recognition,B
Computational Geometry,Programming Languages,Artificial Intelligence,B
Computational Geometry,Robotics,Cryptography and Security,A
Computational Geometry,Robotics,Mathematical Software,A
Computational Geometry,Robotics,Numerical Analysis,B
Computational Geometry,Software Engineering,Numerical Analysis,B
Computational Geometry,Software Engineering,Symbolic Computation,B
Computational Geometry,Software Engineering,Systems and Control,0
Computer Science and Game Theory,Computation and Language,Software Engineering,0
Computer Science and Game Theory,Computational Complexity,Information Retrieval,A
Computer Science and Game Theory,Computational Complexity,Numerical Analysis,B
Computer Science and Game Theory,Computational Geometry,Logic in Computer Science,A
Computer Science and Game Theory,Computational Geometry,Multimedia,A
Computer Science and Game Theory,Computational Geometry,Systems and Control,A
Computer Science and Game Theory,Computer Vision and Pattern Recognition,Computational Complexity,A
Computer Science and Game Theory,Cryptography and Security,Numerical Analysis,B
Computer Science and Game Theory,Databases,Discrete Mathematics,0
Computer Science and Game Theory,Databases,Information Theory,B
Computer Science and Game Theory,Databases,Symbolic Computation,B
Computer Science and Game Theory,Digital Libraries,Information Retrieval,0
Computer Science and Game Theory,Discrete Mathematics,Information Theory,B
Computer Science and Game Theory,Discrete Mathematics,Systems and Control,0
Computer Science and Game Theory,Hardware Architecture,Systems and Control,0
Computer Science and Game Theory,Human-Computer Interaction,Multimedia,0
Computer Science and Game Theory,Information Theory,Information Retrieval,A
Computer Science and Game Theory,Mathematical Software,Computational Complexity,A
Computer Science and Game Theory,Multiagent Systems,Software Engineering,0
Computer Science and Game Theory,Operating Systems,Computational Complexity,0
Computer Science and Game Theory,Operating Systems,Computational Geometry,0
Computer Science and Game Theory,Operating Systems,Graphics,0
Computer Science and Game Theory,Programming Languages,Artificial Intelligence,B
Computer Science and Game Theory,Programming Languages,Computational Geometry,0
Computer Science and Game Theory,Programming Languages,Information Retrieval,0
Computer Science and Game Theory,Programming Languages,Robotics,0
Computer Science and Game Theory,Robotics,Computational Geometry,B
Computer Science and Game Theory,Robotics,Operating Systems,0
Computer Science and Game Theory,Software Engineering,Networking and Internet Architecture,A
Computer Vision and Pattern Recognition,Computation and Language,Logic in Computer Science,B
Computer Vision and Pattern Recognition,Computation and Language,Sound,A
Computer Vision and Pattern Recognition,Computational Geometry,Symbolic Computation,A
Computer Vision and Pattern Recognition,Databases,Discrete Mathematics,B
Computer Vision and Pattern Recognition,Databases,Formal Languages and Automata Theory,B
Computer Vision and Pattern Recognition,Digital Libraries,Multimedia,B
Computer Vision and Pattern Recognition,Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",B
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Computation and Language,B
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Multimedia,B
Computer Vision and Pattern Recognition,Formal Languages and Automata Theory,Computer Science and Game Theory,A
Computer Vision and Pattern Recognition,Graphics,Networking and Internet Architecture,A
Computer Vision and Pattern Recognition,Hardware Architecture,Computation and Language,B
Computer Vision and Pattern Recognition,Hardware Architecture,Cryptography and Security,A
Computer Vision and Pattern Recognition,Hardware Architecture,Information Retrieval,B
Computer Vision and Pattern Recognition,Hardware Architecture,Machine Learning,A
Computer Vision and Pattern Recognition,Hardware Architecture,Systems and Control,A
Computer Vision and Pattern Recognition,Human-Computer Interaction,Information Theory,B
Computer Vision and Pattern Recognition,Human-Computer Interaction,Mathematical Software,A
Computer Vision and Pattern Recognition,Human-Computer Interaction,Software Engineering,B
Computer Vision and Pattern Recognition,Logic in Computer Science,Numerical Analysis,B
Computer Vision and Pattern Recognition,Machine Learning,Computational Geometry,A
Computer Vision and Pattern Recognition,Mathematical Software,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Multiagent Systems,Formal Languages and Automata Theory,B
Computer Vision and Pattern Recognition,Multiagent Systems,Numerical Analysis,B
Computer Vision and Pattern Recognition,Multiagent Systems,Robotics,B
Computer Vision and Pattern Recognition,Operating Systems,Computer Science and Game Theory,B
Computer Vision and Pattern Recognition,Operating Systems,Graphics,A
Computer Vision and Pattern Recognition,Operating Systems,Machine Learning,B
Computer Vision and Pattern Recognition,Operating Systems,Systems and Control,0
Computer Vision and Pattern Recognition,Programming Languages,Machine Learning,B
Computer Vision and Pattern Recognition,Programming Languages,Sound,A
Computer Vision and Pattern Recognition,Robotics,Graphics,B
Computer Vision and Pattern Recognition,Robotics,Information Theory,B
Computer Vision and Pattern Recognition,Software Engineering,Multimedia,B
Computer Vision and Pattern Recognition,Software Engineering,Systems and Control,A
Computer Vision and Pattern Recognition,Sound,Numerical Analysis,B
Computer Vision and Pattern Recognition,Sound,Symbolic Computation,B
Computer Vision and Pattern Recognition,Systems and Control,Information Retrieval,B
Cryptography and Security,Computational Geometry,Graphics,A
Cryptography and Security,Computer Vision and Pattern Recognition,Artificial Intelligence,0
Cryptography and Security,Databases,Computational Geometry,0
Cryptography and Security,Databases,Graphics,A
Cryptography and Security,Digital Libraries,Discrete Mathematics,B
Cryptography and Security,Digital Libraries,Information Theory,B
Cryptography and Security,Discrete Mathematics,Machine Learning,B
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Formal Languages and Automata Theory,A
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Symbolic Computation,0
Cryptography and Security,Formal Languages and Automata Theory,Artificial Intelligence,0
Cryptography and Security,Formal Languages and Automata Theory,Computational Geometry,0
Cryptography and Security,Graphics,Mathematical Software,B
Cryptography and Security,Hardware Architecture,Artificial Intelligence,A
Cryptography and Security,Hardware Architecture,Systems and Control,A
Cryptography and Security,Human-Computer Interaction,Computational Complexity,B
Cryptography and Security,Human-Computer Interaction,Systems and Control,B
Cryptography and Security,Information Theory,Computer Vision and Pattern Recognition,0
Cryptography and Security,Logic in Computer Science,Information Retrieval,0
Cryptography and Security,Logic in Computer Science,Symbolic Computation,0
Cryptography and Security,Mathematical Software,Computer Vision and Pattern Recognition,A
Cryptography and Security,Mathematical Software,Symbolic Computation,B
Cryptography and Security,Multiagent Systems,Discrete Mathematics,B
Cryptography and Security,Multiagent Systems,Human-Computer Interaction,0
Cryptography and Security,Multimedia,Artificial Intelligence,B
Cryptography and Security,Multimedia,Computational Complexity,B
Cryptography and Security,Multimedia,Mathematical Software,B
Cryptography and Security,Multimedia,Symbolic Computation,B
Cryptography and Security,Networking and Internet Architecture,Symbolic Computation,A
Cryptography and Security,Operating Systems,Machine Learning,A
Cryptography and Security,Programming Languages,Machine Learning,A
Cryptography and Security,Programming Languages,Operating Systems,B
Cryptography and Security,Robotics,Formal Languages and Automata Theory,B
Cryptography and Security,Robotics,Software Engineering,B
Cryptography and Security,Robotics,Symbolic Computation,B
Cryptography and Security,Software Engineering,Artificial Intelligence,B
Cryptography and Security,Software Engineering,Information Theory,B
Cryptography and Security,Sound,Computational Complexity,B
Cryptography and Security,Sound,Numerical Analysis,B
Databases,Computation and Language,Information Retrieval,B
Databases,Computer Science and Game Theory,Information Retrieval,B
Databases,Digital Libraries,Computational Geometry,A
Databases,Discrete Mathematics,Computer Vision and Pattern Recognition,A
Databases,Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",A
Databases,"Distributed, Parallel, and Cluster Computing",Artificial Intelligence,A
Databases,"Distributed, Parallel, and Cluster Computing",Computer Vision and Pattern Recognition,A
Databases,"Distributed, Parallel, and Cluster Computing",Machine Learning,A
Databases,Formal Languages and Automata Theory,Computational Geometry,0
Databases,Formal Languages and Automata Theory,Computer Science and Game Theory,0
Databases,Formal Languages and Automata Theory,Mathematical Software,B
Databases,Formal Languages and Automata Theory,Multimedia,0
Databases,Formal Languages and Automata Theory,Software Engineering,B
Databases,Graphics,Computational Complexity,B
Databases,Graphics,Computer Vision and Pattern Recognition,B
Databases,Graphics,Logic in Computer Science,0
Databases,Hardware Architecture,Computational Complexity,0
Databases,Hardware Architecture,Mathematical Software,A
Databases,Hardware Architecture,Sound,A
Databases,Human-Computer Interaction,Machine Learning,A
Databases,Human-Computer Interaction,Multimedia,A
Databases,Human-Computer Interaction,Software Engineering,A
Databases,Information Theory,Computer Vision and Pattern Recognition,A
Databases,Machine Learning,Formal Languages and Automata Theory,0
Databases,Machine Learning,Networking and Internet Architecture,B
Databases,Programming Languages,Cryptography and Security,B
Databases,Programming Languages,Symbolic Computation,A
Databases,Robotics,Computational Complexity,B
Databases,Software Engineering,Artificial Intelligence,A
Databases,Software Engineering,Cryptography and Security,A
Databases,Software Engineering,Graphics,A
Databases,Software Engineering,Logic in Computer Science,A
Databases,Sound,Logic in Computer Science,B
Databases,Sound,Networking and Internet Architecture,B
Databases,Systems and Control,Symbolic Computation,A
Digital Libraries,Artificial Intelligence,Networking and Internet Architecture,B
Digital Libraries,Computation and Language,Graphics,A
