Anchor;A;B;Annotator00;Annotator04;Annotator02;Annotator05;Annotator06;Annotator08;Annotator07;Annotator10;Annotator01;Annotator09;Annotator03
Artificial Intelligence;Computation and Language;Computational Complexity;['A'];;;;;['B'];;['A'];['A'];['B'];
Artificial Intelligence;Computation and Language;Computational Geometry;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Computation and Language;Cryptography and Security;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Computation and Language;Formal Languages and Automata Theory;['0'];['A'];['B'];;;;;;['B'];;['0']
Artificial Intelligence;Computation and Language;Multimedia;['A'];;;;;['A'];;['A'];['A'];['A'];
Artificial Intelligence;Computation and Language;Numerical Analysis;['A'];;;['A'];['A'];;['A'];;['A'];;
Artificial Intelligence;Computation and Language;Sound;['A'];;;['A'];['A'];;['A'];;['A'];;
Artificial Intelligence;Computation and Language;Systems and Control;['A'];;;['A'];['A'];;['A'];;['A'];;
Artificial Intelligence;Computational Geometry;Computational Complexity;['B'];['0'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Computational Geometry;Information Theory;['A'];;;;;['A'];;['B'];['B'];['A'];
Artificial Intelligence;Computational Geometry;Mathematical Software;['A'];;;['A'];['0'];;['0'];;['A'];;
Artificial Intelligence;Computational Geometry;Multimedia;['A'];;;['A'];['0'];;['0'];;['A'];;
Artificial Intelligence;Computational Geometry;Networking and Internet Architecture;['A'];;;['A'];['0'];;['0'];;['A'];;
Artificial Intelligence;Computational Geometry;Symbolic Computation;['B'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Computational Geometry;Systems and Control;['A'];;;;;['A'];;['B'];['0'];['A'];
Artificial Intelligence;Computer Science and Game Theory;Symbolic Computation;['B'];['A'];['A'];;;;;;['B'];;['B']
Artificial Intelligence;Computer Vision and Pattern Recognition;Symbolic Computation;['A', 'A'];;;;;['A', 'A'];;['A', 'A'];['0', '0'];['A', 'A'];
Artificial Intelligence;Cryptography and Security;Mathematical Software;['B'];;;['0'];['0'];;['0'];;['A'];;
Artificial Intelligence;Cryptography and Security;Symbolic Computation;['B'];;;;;['A'];;['B'];['B'];['A'];
Artificial Intelligence;Digital Libraries;Computational Geometry;['B'];;;;;['B'];;['B'];['0'];['B'];
Artificial Intelligence;Digital Libraries;Information Retrieval;['B'];['B'];['B'];;;;;;['B'];;['A']
Artificial Intelligence;Digital Libraries;Software Engineering;['B'];;;;;['B'];;['A'];['0'];['B'];
Artificial Intelligence;Digital Libraries;Sound;['A'];;;['0'];['0'];;['0'];;['0'];;
Artificial Intelligence;Discrete Mathematics;Cryptography and Security;['A'];['B'];['B'];;;;;;['B'];;['A']
Artificial Intelligence;Discrete Mathematics;Graphics;['A'];;;;;['A'];;['A'];['0'];['A'];
Artificial Intelligence;Discrete Mathematics;Information Theory;['A'];;;;;['A'];;['B'];['B'];['A'];
Artificial Intelligence;Discrete Mathematics;Logic in Computer Science;['0'];;;['B'];['B'];;['B'];;['B'];;
Artificial Intelligence;Discrete Mathematics;Numerical Analysis;['B'];;;;;['A'];;['B'];['0'];['A'];
Artificial Intelligence;Discrete Mathematics;Symbolic Computation;['B'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Discrete Mathematics;Systems and Control;['A'];['B'];['B'];;;;;;['A'];;['A']
Artificial Intelligence;Distributed, Parallel, and Cluster Computing;Computational Geometry;['B'];;;['B'];['0'];;['0'];;['B'];;
Artificial Intelligence;Distributed, Parallel, and Cluster Computing;Graphics;['0'];;;;;['0'];;['A'];['0'];['A'];
Artificial Intelligence;Formal Languages and Automata Theory;Computer Vision and Pattern Recognition;['0'];['B'];['B'];;;;;;['0'];;['0']
Artificial Intelligence;Formal Languages and Automata Theory;Multimedia;['A'];;;;;['A'];;['A'];['0'];['A'];
Artificial Intelligence;Formal Languages and Automata Theory;Networking and Internet Architecture;['A'];;;['0'];['A'];;['0'];;['A'];;
Artificial Intelligence;Formal Languages and Automata Theory;Systems and Control;['A'];['B'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Graphics;Computer Science and Game Theory;['0'];;;['B'];['0'];;['B'];;['B'];;
Artificial Intelligence;Hardware Architecture;Computer Science and Game Theory;['0'];['B'];['B'];;;;;;['B'];;['0']
Artificial Intelligence;Hardware Architecture;Distributed, Parallel, and Cluster Computing;['0'];;;;;['0'];;['B'];['A'];['B'];
Artificial Intelligence;Hardware Architecture;Logic in Computer Science;['B'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Hardware Architecture;Operating Systems;['0'];;;['0'];['0'];;['0'];;['B'];;
Artificial Intelligence;Hardware Architecture;Software Engineering;['B'];['B'];['B'];;;;;;['0'];;['B']
Artificial Intelligence;Hardware Architecture;Symbolic Computation;['B', 'B'];;;;;['B', 'B'];;['B', 'B'];['B', 'B'];['B', 'B'];
Artificial Intelligence;Human-Computer Interaction;Computer Vision and Pattern Recognition;['B'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Human-Computer Interaction;Logic in Computer Science;['B'];['B'];['A'];;;;;;['B'];;['B']
Artificial Intelligence;Human-Computer Interaction;Multimedia;['0'];;;;;['A'];;['A'];['0'];['A'];
Artificial Intelligence;Information Retrieval;Networking and Internet Architecture;['A'];;;['A'];['A'];;['0'];;['A'];;
Artificial Intelligence;Information Retrieval;Symbolic Computation;['B'];['A'];['A'];;;;;;['A'];;['B']
Artificial Intelligence;Information Theory;Cryptography and Security;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Information Theory;Graphics;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Information Theory;Information Retrieval;['B'];['B'];['A'];;;;;;['A'];;['0']
Artificial Intelligence;Information Theory;Mathematical Software;['A', '0'];;;;;['B', 'A'];;['A', '0'];['A', 'A'];['B', '0'];
Artificial Intelligence;Information Theory;Multimedia;['A'];;;['A'];['A'];;['A'];;['A'];;
Artificial Intelligence;Logic in Computer Science;Mathematical Software;['A'];;;;;['B'];;['A'];['A'];['A'];
Artificial Intelligence;Logic in Computer Science;Systems and Control;['A'];;;;;['0'];;['A'];['A'];['A'];
Artificial Intelligence;Machine Learning;Computational Complexity;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Machine Learning;Information Retrieval;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Machine Learning;Information Theory;['A'];;;['A'];['A'];;['A'];;['A'];;
Artificial Intelligence;Machine Learning;Multimedia;['A'];['A'];['A'];;;;;;['A'];;['A']
Artificial Intelligence;Mathematical Software;Computer Science and Game Theory;['A', '0'];;;;;['A', 'B'];;['B', 'B'];['B', 'B'];['B', '0'];
Artificial Intelligence;Mathematical Software;Networking and Internet Architecture;['0'];['0'];['B'];;;;;;['0'];;['0']
Artificial Intelligence;Multiagent Systems;Computation and Language;['B'];;;['A'];['A'];;['B'];;['B'];;
Artificial Intelligence;Multiagent Systems;Computational Geometry;['A'];;;;;['B'];;['A'];['0'];['A'];
Artificial Intelligence;Multiagent Systems;Cryptography and Security;['A'];;;['A'];['A'];;['A'];;['B'];;
Artificial Intelligence;Multiagent Systems;Distributed, Parallel, and Cluster Computing;['A'];;;;;['0'];;['A'];['0'];['A'];
Artificial Intelligence;Multiagent Systems;Formal Languages and Automata Theory;['B'];['A'];['A'];;;;;;['B'];;['B']
Artificial Intelligence;Multiagent Systems;Graphics;['A'];;;['A'];['A'];;['A'];;['0'];;
Artificial Intelligence;Multiagent Systems;Operating Systems;['A'];['A'];['A'];;;;;;['0'];;['0']
Artificial Intelligence;Multiagent Systems;Software Engineering;['A'];;;['A'];['A'];;['A'];;['B'];;
Artificial Intelligence;Multimedia;Mathematical Software;['B'];;;;;['B'];;['0'];['0'];['A'];
Artificial Intelligence;Multimedia;Numerical Analysis;['B'];;;['0'];['0'];;['0'];;['B'];;
Artificial Intelligence;Numerical Analysis;Symbolic Computation;['B'];['B'];['B'];;;;;;['B'];;['0']
Artificial Intelligence;Operating Systems;Computational Complexity;['B'];;;;;['B'];;['0'];['0'];['B'];
Artificial Intelligence;Operating Systems;Computer Science and Game Theory;['0'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Operating Systems;Formal Languages and Automata Theory;['B'];['B'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Operating Systems;Logic in Computer Science;['B'];;;['B'];['B'];;['B'];;['B'];;
Artificial Intelligence;Operating Systems;Multimedia;['0'];['A'];['B'];;;;;;['B'];;['0']
Artificial Intelligence;Operating Systems;Networking and Internet Architecture;['0'];;;['0'];['0'];;['0'];;['A'];;
Artificial Intelligence;Operating Systems;Sound;['0'];;;;;['0'];;['0'];['0'];['B'];
Artificial Intelligence;Programming Languages;Computer Vision and Pattern Recognition;['B'];;;['B'];['B'];;['B'];;['B'];;
Artificial Intelligence;Programming Languages;Information Theory;['B'];['A'];['B'];;;;;;['B'];;['B']
Artificial Intelligence;Programming Languages;Systems and Control;['A'];['A'];['B'];;;;;;['A'];;['0']
Artificial Intelligence;Robotics;Operating Systems;['A', 'A'];['A', 'A'];['A', 'A'];;;;;;['A', 'A'];;['A', 'A']
Artificial Intelligence;Software Engineering;Computational Geometry;['B'];['A'];['A'];;;;;;['B'];;['0']
Artificial Intelligence;Software Engineering;Symbolic Computation;['B'];;;['B'];['B'];;['B'];;['B'];;
Artificial Intelligence;Sound;Computational Complexity;['B'];;;['0'];['0'];;['0'];;['B'];;
Artificial Intelligence;Sound;Graphics;['0'];;;['0'];['0'];;['0'];;['B'];;
Computation and Language;Artificial Intelligence;Symbolic Computation;['A'];['B'];['A'];;;;;;['B'];;['A']
Computation and Language;Computational Geometry;Multimedia;['A'];;;['0'];['A'];;['0'];;['A'];;
Computation and Language;Computational Geometry;Numerical Analysis;['B'];['B'];['A'];;;;;;['A'];;['B']
Computation and Language;Cryptography and Security;Artificial Intelligence;['B'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Cryptography and Security;Information Retrieval;['B'];;;['B'];['B'];;['A'];;['A'];;
Computation and Language;Cryptography and Security;Systems and Control;['0'];['A'];['A'];;;;;;['A'];;['0']
Computation and Language;Databases;Digital Libraries;['B'];;;['B'];['A'];;['0'];;['B'];;
Computation and Language;Databases;Programming Languages;['B'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Databases;Software Engineering;['0'];;;['0'];['A'];;['0'];;['0'];;
Computation and Language;Digital Libraries;Computational Complexity;['A'];['A'];['B'];;;;;;['B'];;['0']
Computation and Language;Digital Libraries;Computer Science and Game Theory;['A'];;;['A'];['0'];;['B'];;['B'];;
Computation and Language;Digital Libraries;Cryptography and Security;['A'];;;;;['0'];;['0'];['B'];['A'];
Computation and Language;Digital Libraries;Graphics;['A'];;;;;['0'];;['0'];['B'];['A'];
Computation and Language;Digital Libraries;Machine Learning;['B'];['A'];['B'];;;;;;['B'];;['B']
Computation and Language;Digital Libraries;Robotics;['A'];['A'];['B'];;;;;;['A'];;['0']
Computation and Language;Discrete Mathematics;Computational Geometry;['A'];['A'];['B'];;;;;;['0'];;['A']
Computation and Language;Discrete Mathematics;Computer Science and Game Theory;['A'];;;['0'];['A'];;['B'];;['B'];;
Computation and Language;Discrete Mathematics;Information Theory;['B'];;;['B'];['A'];;['B'];;['B'];;
Computation and Language;Discrete Mathematics;Machine Learning;['B'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Discrete Mathematics;Mathematical Software;['A'];;;['0'];['A'];;['0'];;['A'];;
Computation and Language;Discrete Mathematics;Programming Languages;['A'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Discrete Mathematics;Robotics;['A'];;;;;['0'];;['0'];['B'];['B'];
Computation and Language;Discrete Mathematics;Systems and Control;['A'];['B'];['B'];;;;;;['B'];;['A']
Computation and Language;Distributed, Parallel, and Cluster Computing;Computational Complexity;['B'];;;['0'];['A'];;['0'];;['B'];;
Computation and Language;Distributed, Parallel, and Cluster Computing;Logic in Computer Science;['B'];;;['B'];['A'];;['0'];;['B'];;
Computation and Language;Distributed, Parallel, and Cluster Computing;Sound;['B'];;;;;['0'];;['0'];['0'];['B'];
Computation and Language;Formal Languages and Automata Theory;Computational Geometry;['A'];;;;;['A'];;['A'];['A'];['A'];
Computation and Language;Formal Languages and Automata Theory;Symbolic Computation;['A'];['B'];['A'];;;;;;['A'];;['A']
Computation and Language;Formal Languages and Automata Theory;Systems and Control;['A'];['A'];['A'];;;;;;['A'];;['A']
Computation and Language;Graphics;Computer Science and Game Theory;['0'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Graphics;Information Retrieval;['B'];;;['B'];['0'];;['0'];;['B'];;
Computation and Language;Graphics;Logic in Computer Science;['B'];['B'];['B'];;;;;;['B'];;['0']
Computation and Language;Hardware Architecture;Computational Complexity;['B'];;;;;['0'];;['0'];['B'];['B'];
Computation and Language;Hardware Architecture;Computational Geometry;['B'];;;;;['0'];;['0'];['0'];['0'];
Computation and Language;Hardware Architecture;Computer Vision and Pattern Recognition;['B'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Hardware Architecture;Digital Libraries;['B'];;;['0'];['0'];;['0'];;['B'];;
Computation and Language;Hardware Architecture;Graphics;['0'];;;['0'];['0'];;['0'];;['0'];;
Computation and Language;Hardware Architecture;Logic in Computer Science;['B'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Hardware Architecture;Multiagent Systems;['B'];;;;;['0'];;['0'];['0'];['B'];
Computation and Language;Hardware Architecture;Programming Languages;['0'];;;['0'];['0'];;['B'];;['B'];;
Computation and Language;Hardware Architecture;Symbolic Computation;['B'];;;;;['B'];;['B'];['B'];['B'];
Computation and Language;Human-Computer Interaction;Artificial Intelligence;['B'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Human-Computer Interaction;Computational Geometry;['B'];;;;;['A'];;['0'];['A'];['A'];
Computation and Language;Human-Computer Interaction;Computer Vision and Pattern Recognition;['B'];;;;;['B'];;['0'];['A'];['A'];
Computation and Language;Human-Computer Interaction;Cryptography and Security;['0'];;;;;['B'];;['0'];['B'];['A'];
Computation and Language;Human-Computer Interaction;Mathematical Software;['0'];;;;;['B'];;['0'];['A'];['A'];
Computation and Language;Human-Computer Interaction;Sound;['B'];;;;;['A'];;['0'];['A'];['0'];
Computation and Language;Human-Computer Interaction;Systems and Control;['A'];['A'];['A'];;;;;;['A'];;['A']
Computation and Language;Information Retrieval;Networking and Internet Architecture;['A'];;;['A'];['A'];;['0'];;['A'];;
Computation and Language;Information Theory;Computational Complexity;['A'];;;['A'];['B'];;['0'];;['A'];;
Computation and Language;Information Theory;Computer Vision and Pattern Recognition;['B'];;;;;['0'];;['A'];['A'];['B'];
Computation and Language;Logic in Computer Science;Systems and Control;['A'];;;;;['A'];;['A'];['A'];['0'];
Computation and Language;Machine Learning;Artificial Intelligence;['A'];;;;;['A'];;['A'];['0'];['0'];
Computation and Language;Machine Learning;Computer Science and Game Theory;['A'];;;;;['A'];;['A'];['A'];['0'];
Computation and Language;Machine Learning;Formal Languages and Automata Theory;['0'];;;['0'];['B'];;['B'];;['B'];;
Computation and Language;Machine Learning;Mathematical Software;['A'];['A'];['A'];;;;;;['A'];;['A']
Computation and Language;Machine Learning;Multimedia;['A'];;;;;['A'];;['A'];['A'];['A'];
Computation and Language;Machine Learning;Networking and Internet Architecture;['A'];['A'];['A'];;;;;;['A'];;['A']
Computation and Language;Mathematical Software;Computational Complexity;['0'];;;['0'];['B'];;['0'];;['B'];;
Computation and Language;Multiagent Systems;Cryptography and Security;['A'];;;['0'];['A'];;['0'];;['B'];;
Computation and Language;Multiagent Systems;Discrete Mathematics;['B'];;;;;['0'];;['0'];['0'];['A'];
Computation and Language;Multiagent Systems;Information Theory;['B'];['A'];['B'];;;;;;['B'];;['B']
Computation and Language;Multiagent Systems;Mathematical Software;['A', 'A'];['A', '0'];['A', 'B'];;;;;;['A', 'A'];;['B', '0']
Computation and Language;Multiagent Systems;Networking and Internet Architecture;['A'];;;['0'];['A'];;['0'];;['0'];;
Computation and Language;Multiagent Systems;Programming Languages;['A'];;;;;['B'];;['B'];['0'];['A'];
Computation and Language;Multiagent Systems;Software Engineering;['A'];;;;;['0'];;['0'];['0'];['A'];
Computation and Language;Multimedia;Computer Vision and Pattern Recognition;['B'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Multimedia;Information Retrieval;['B'];;;;;['0'];;['B'];['B'];['B'];
