id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000007;0.9053687;0.916338;0.94077367;0.9178283;0.9080019;0.9367298;0.9123492;0.9013208;0.8793443;0.94584894;0.88851166;0.9115871;0.91232115;0.93889374;0.91761684;0.934098;0.93544126;0.9311816;0.9453084;0.9154922;0.8803847;0.9206301;0.8971005;0.8971367;0.9281372;0.9617226;0.9253963;0.88726985;0.85884047;0.8962659
cs.AR;0.9053687;0.99999976;0.91393805;0.9213254;0.9219935;0.9010098;0.91717255;0.93632644;0.9186017;0.88972265;0.9040222;0.90357786;0.9127672;0.88618034;0.9154284;0.9151074;0.9025707;0.92662597;0.9005817;0.92547196;0.9043241;0.8424187;0.89863694;0.9130707;0.8921074;0.9326629;0.9010649;0.93170553;0.88221306;0.8987387;0.9035404
cs.CC;0.916338;0.91393805;0.9999998;0.9503668;0.9190022;0.9093263;0.93302494;0.9287746;0.93947893;0.8961962;0.9364483;0.9311766;0.9130996;0.94146615;0.9342095;0.9197726;0.9429418;0.9537997;0.935737;0.9442683;0.90258855;0.8705747;0.94635814;0.91792655;0.90787053;0.9411575;0.9039428;0.94637036;0.89351964;0.85357845;0.8977758
cs.CG;0.94077367;0.9213254;0.9503668;0.9999997;0.92621815;0.91226625;0.956751;0.93657285;0.9207515;0.89438444;0.96009856;0.9169776;0.9562595;0.93577635;0.94151336;0.92333317;0.94789326;0.9542345;0.9355606;0.94656837;0.9230515;0.88777816;0.9579176;0.9094918;0.9141267;0.93838394;0.9347421;0.9609158;0.9095293;0.88028324;0.9046513
cs.CL;0.9178283;0.9219935;0.9190022;0.92621815;1.0;0.92748153;0.94653493;0.92300844;0.91805774;0.91328454;0.9007252;0.90230477;0.9389481;0.909791;0.9422619;0.9294014;0.9316203;0.95107055;0.9113845;0.9354743;0.91643095;0.8260544;0.9174019;0.91372776;0.89366007;0.91738063;0.9183217;0.9270487;0.92455083;0.88244194;0.8747173
cs.CR;0.9080019;0.9010098;0.9093263;0.91226625;0.92748153;1.0000002;0.9220444;0.92090017;0.92425966;0.9402575;0.8933202;0.8638612;0.93321157;0.9048761;0.94128656;0.9344101;0.9250823;0.9314598;0.90586615;0.9177903;0.9404482;0.83493084;0.91862226;0.944262;0.9322044;0.90681005;0.9160786;0.91097486;0.90858245;0.8490021;0.8866493
cs.CV;0.9367298;0.91717255;0.93302494;0.956751;0.94653493;0.9220444;0.99999994;0.934057;0.92308277;0.9240891;0.9194288;0.9045759;0.9619576;0.92089057;0.9462005;0.94481087;0.9496901;0.96160346;0.92796063;0.9464706;0.9386282;0.8521046;0.94527066;0.9167823;0.90960896;0.9302113;0.9390001;0.94497013;0.9298694;0.8653066;0.90726614
cs.DB;0.9123492;0.93632644;0.9287746;0.93657285;0.92300844;0.92090017;0.934057;0.99999976;0.9459875;0.93491673;0.9226844;0.91671604;0.9286437;0.9075088;0.93754673;0.95886517;0.9152653;0.945963;0.91247576;0.9443339;0.93201613;0.85751057;0.9316234;0.9381424;0.92530197;0.948429;0.9075615;0.9528238;0.89376444;0.85825;0.9222646
cs.DC;0.9013208;0.9186017;0.93947893;0.9207515;0.91805774;0.92425966;0.92308277;0.9459875;0.99999964;0.9286959;0.902042;0.9063383;0.912266;0.90746033;0.9367986;0.9306629;0.91851795;0.93965006;0.8974694;0.94989353;0.92344254;0.8487538;0.9120536;0.95433104;0.92994463;0.94094276;0.90516376;0.93393105;0.900527;0.847216;0.9222533
cs.DL;0.8793443;0.88972265;0.8961962;0.89438444;0.91328454;0.9402575;0.9240891;0.93491673;0.9286959;1.0;0.8752445;0.87229973;0.92168;0.8783662;0.92088073;0.95197415;0.90166616;0.91625464;0.88564706;0.91553986;0.9556979;0.80874896;0.9003804;0.94519645;0.90604156;0.908538;0.8941393;0.90744805;0.8935932;0.8115904;0.8882911
cs.DM;0.94584894;0.9040222;0.9364483;0.96009856;0.9007252;0.8933202;0.9194288;0.9226844;0.902042;0.8752445;1.0000002;0.9175935;0.9145907;0.9301959;0.9234284;0.9085031;0.9363403;0.9285611;0.93974257;0.928101;0.90552807;0.9206319;0.9451252;0.8903928;0.89933586;0.9334656;0.9245988;0.9482508;0.8763988;0.8633775;0.890552
cs.FL;0.88851166;0.90357786;0.9311766;0.9169776;0.90230477;0.8638612;0.9045759;0.91671604;0.9063383;0.87229973;0.9175935;1.0000002;0.8908936;0.9179246;0.8951116;0.8851328;0.90837497;0.9128103;0.9358175;0.9137773;0.8873236;0.84709466;0.91906834;0.8893746;0.85828054;0.94932234;0.86019886;0.9364095;0.8348783;0.8154185;0.87173927
cs.GR;0.9115871;0.9127672;0.9130996;0.9562595;0.9389481;0.93321157;0.9619576;0.9286437;0.912266;0.92168;0.9145907;0.8908936;1.0;0.9206232;0.9423019;0.9225222;0.94362354;0.94481266;0.91244423;0.9162292;0.94803846;0.85104036;0.94660366;0.92309797;0.922169;0.9276781;0.9280877;0.9464699;0.913749;0.86099774;0.887398
