id;group;name;description;CCS1998Ids;Wikidata;DBpedia;CSO;CCS1998Names;Wikidata Description;DBpedia abstract
cs.AI;Computer Science;Artificial Intelligence;Covers all areas of AI except Vision, Robotics, Machine Learning, Multiagent Systems, and Computation and Language (Natural Language Processing), which have separate subject areas. In particular, includes Expert Systems, Theorem Proving (although this may overlap with Logic in Computer Science), Knowledge Representation, Planning, and Uncertainty in AI. Roughly includes material in ACM Subject Classes I.2.0, I.2.1, I.2.3, I.2.4, I.2.8, and I.2.11.;['I.2.0', 'I.2.1', 'I.2.3', 'I.2.4', 'I.2.8', 'I.2.11'];http://www.wikidata.org/entity/Q11660;http://dbpedia.org/resource/Artificial_intelligence;https://cso.kmi.open.ac.uk/topics/artificial_intelligence;"[('General', 'Cognitive simulation', 'Philosophical foundations'), ('Applications and Expert Systems', 'Cartography', 'Games', 'Industrial automation', 'Law', 'Medicine and science', 'Natural language interfaces', 'Office automation'), ('Deduction and Theorem Proving', 'Answer/reason extraction', 'Deduction (e.g., natural, rule-based)', 'Inference engines', 'Logic programming', 'Mathematical induction', 'Metatheory', 'Nonmonotonic reasoning and belief revision', 'Resolution', ""Uncertainty, ``fuzzy,'' and probabilistic reasoning""), ('Knowledge Representation Formalisms and Methods', 'Frames and scripts', 'Modal logic', 'Predicate logic', 'Relation systems', 'Representation languages', 'Representations (procedural and rule-based)', 'Semantic networks', 'Temporal logic'), ('Problem Solving, Control Methods, and Search', 'Backtracking', 'Control theory', 'Dynamic programming', 'Graph and tree search strategies', 'Heuristic methods', 'Plan execution, formation, and generation', 'Scheduling'), ('Distributed Artificial Intelligence', 'Coherence and coordination', 'Intelligent agents', 'Languages and structures', 'Multiagent systems')]";field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents;"In computer science, artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals. Leading AI textbooks define the field as the study of ""intelligent agents"": any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals. Colloquially, the term ""artificial intelligence"" is often used to describe machines (or computers) that mimic ""cognitive"" functions that humans associate with the human mind, such as ""learning"" and ""problem solving"". As machines become increasingly capable, tasks considered to require ""intelligence"" are often removed from the definition of AI, a phenomenon known as the AI effect. A quip in Tesler's Theorem says ""AI is whatever hasn't been done yet."" For instance, optical character recognition is frequently excluded from things considered to be AI, having become a routine technology. Modern machine capabilities generally classified as AI include successfully understanding human speech, competing at the highest level in strategic game systems (such as chess and Go), autonomously operating cars, intelligent routing in content delivery networks, and military simulations. Artificial intelligence was founded as an academic discipline in 1955, and in the years since has experienced several waves of optimism, followed by disappointment and the loss of funding (known as an ""AI winter""), followed by new approaches, success and renewed funding. For most of its history, AI research has been divided into sub-fields that often fail to communicate with each other. These sub-fields are based on technical considerations, such as particular goals (e.g. ""robotics"" or ""machine learning""), the use of particular tools (""logic"" or artificial neural networks), or deep philosophical differences. Sub-fields have also been based on social factors (particular institutions or the work of particular researchers). The traditional problems (or goals) of AI research include reasoning, knowledge representation, planning, learning, natural language processing, perception and the ability to move and manipulate objects. General intelligence is among the field's long-term goals. Approaches include , , and . Many tools are used in AI, including versions of , artificial neural networks, and . The AI field draws upon computer science, information engineering, mathematics, psychology, linguistics, philosophy, and many other fields. The field was founded on the assumption that human intelligence ""can be so precisely described that a machine can be made to simulate it"". This raises philosophical arguments about the mind and the ethics of creating artificial beings endowed with human-like intelligence. These issues have been explored by myth, fiction and philosophy since antiquity. Some people also consider AI to be a danger to humanity if it progresses unabated. Others believe that AI, unlike previous technological revolutions, will create a risk of mass unemployment. In the twenty-first century, AI techniques have experienced a resurgence following concurrent advances in computer power, large amounts of data, and theoretical understanding; and AI techniques have become an essential part of the technology industry, helping to solve many challenging problems in computer science, software engineering and operations research."
cs.AR;Computer Science;Hardware Architecture;Covers systems organization and hardware architecture. Roughly includes material in ACM Subject Classes C.0, C.1, and C.5.;['C.0', 'C.1', 'C.5'];https://www.wikidata.org/wiki/Q173212;http://dbpedia.org/resource/Computer_architecture;https://cso.kmi.open.ac.uk/topics/hardware_architecture;"[('GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW)', 'Modeling of computer architecture', 'System architectures', 'Systems specification methodology'), ('PROCESSOR ARCHITECTURES', 'General', 'Single Data Stream Architectures', 'Multiple Data Stream Architectures (Multiprocessors)', 'Other Architecture Styles', 'Parallel Architectures', 'Miscellaneous'), ('COMPUTER SYSTEM IMPLEMENTATION', 'General', ""Large and Medium (``Mainframe'') Computers"", 'Minicomputers', 'Microcomputers', 'VLSI Systems', 'Servers', 'Miscellaneous')]";;In computer engineering, computer architecture is a set of rules and methods that describe the functionality, organization, and implementation of computer systems. Some definitions of architecture define it as describing the capabilities and programming model of a computer but not a particular implementation. In other definitions computer architecture involves instruction set architecture design, microarchitecture design, logic design, and implementation.
cs.CC;Computer Science;Computational Complexity;Covers models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds. Roughly includes material in ACM Subject Classes F.1 (computation by abstract devices), F.2.3 (tradeoffs among complexity measures), and F.4.3 (formal languages), although some material in formal languages may be more appropriate for Logic in Computer Science. Some material in F.2.1 and F.2.2, may also be appropriate here, but is more likely to have Data Structures and Algorithms as the primary subject area.;['F.1', 'F.2.3', 'F.4.3', 'F.2.1', 'F.2.2'];http://www.wikidata.org/entity/Q5157286;http://dbpedia.org/resource/Computational_complexity_theory;;[('COMPUTATION BY ABSTRACT DEVICES', 'General', 'Models of Computation', 'Modes of Computation', 'Complexity Measures and Classes', 'Miscellaneous'), ('Tradeoffs between Complexity Measures',), ('Formal Languages', 'Algebraic language theory', 'Classes defined by grammars or automata (e.g., context-free languages, regular sets, recursive sets)', 'Classes defined by resource-bounded automata', 'Decision problems', 'Operations on languages'), ('Numerical Algorithms and Problems', 'Computation of transforms (e.g., fast Fourier transform)', 'Computations in finite fields', 'Computations on matrices', 'Computations on polynomials', 'Number-theoretic computations (e.g., factoring, primality testing)'), ('Nonnumerical Algorithms and Problems', 'Complexity of proof procedures', 'Computations on discrete structures', 'Geometrical problems and computations', 'Pattern matching', 'Routing and layout', 'Sequencing and scheduling', 'Sorting and searching')];measure of the amount of resources needed to run an algorithm or solve a computational problem;Computational complexity theory focuses on classifying computational problems according to their inherent difficulty, and relating these classes to each other. A computational problem is a task solved by a computer. A computation problem is solvable by mechanical application of mathematical steps, such as an algorithm. A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used. The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying their computational complexity, i.e., the amount of resources needed to solve them, such as time and storage. Other measures of complexity are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing). One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do. The P versus NP problem, one of the seven Millennium Prize Problems, is dedicated to the field of computational complexity. Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, computational complexity theory tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kinds of problems can, in principle, be solved algorithmically.
cs.CE;Computer Science;Computational Engineering, Finance, and Science;Covers applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance. Papers here are interdisciplinary and applications-oriented, focusing on techniques and tools that enable challenging computational simulations to be performed, for which the use of supercomputers or distributed computing platforms is often required. Includes material in ACM Subject Classes J.2, J.3, and J.4 (economics).;['J.2', 'J.3', 'J.4'];;;;[('PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'), ('LIFE AND MEDICAL SCIENCES', 'Biology and genetics', 'Health', 'Medical information systems'), ('SOCIAL AND BEHAVIORAL SCIENCES', 'Economics', 'Psychology', 'Sociology')];;
cs.CG;Computer Science;Computational Geometry;Roughly includes material in ACM Subject Classes I.3.5 and F.2.2.;['I.3.5', 'F.2.2'];http://www.wikidata.org/entity/Q874709;http://dbpedia.org/resource/Computational_geometry;;[('Computational Geometry and Object Modeling', 'Boundary representations', 'Constructive solid geometry (CSG)', 'Curve, surface, solid, and object representations', 'Geometric algorithms, languages, and systems', 'Hierarchy and geometric transformations', 'Modeling packages', 'Object hierarchies', 'Physically based modeling', 'Splines'), ('Nonnumerical Algorithms and Problems', 'Complexity of proof procedures', 'Computations on discrete structures', 'Geometrical problems and computations', 'Pattern matching', 'Routing and layout', 'Sequencing and scheduling', 'Sorting and searching')];branch of computer science;"Computational geometry is a branch of computer science devoted to the study of algorithms which can be stated in terms of geometry. Some purely geometrical problems arise out of the study of computational geometric algorithms, and such problems are also considered to be part of computational geometry. While modern computational geometry is a recent development, it is one of the oldest fields of computing with history stretching back to antiquity. Computational complexity is central to computational geometry, with great practical significance if algorithms are used on very large datasets containing tens or hundreds of millions of points. For such sets, the difference between O(n2) and O(n log n) may be the difference between days and seconds of computation. The main impetus for the development of computational geometry as a discipline was progress in computer graphics and computer-aided design and manufacturing (CAD/CAM), but many problems in computational geometry are classical in nature, and may come from mathematical visualization. Other important applications of computational geometry include robotics (motion planning and visibility problems), geographic information systems (GIS) (geometrical location and search, route planning), integrated circuit design (IC geometry design and verification), computer-aided engineering (CAE) (mesh generation), computer vision (3D reconstruction). The main branches of computational geometry are: 
* Combinatorial computational geometry, also called algorithmic geometry, which deals with geometric objects as discrete entities. A groundlaying book in the subject by Preparata and Shamos dates the first use of the term ""computational geometry"" in this sense by 1975. 
* Numerical computational geometry, also called machine geometry, computer-aided geometric design (CAGD), or geometric modeling, which deals primarily with representing real-world objects in forms suitable for computer computations in CAD/CAM systems. This branch may be seen as a further development of descriptive geometry and is often considered a branch of computer graphics or CAD. The term ""computational geometry"" in this meaning has been in use since 1971."
cs.CL;Computer Science;Computation and Language;Covers natural language processing. Roughly includes material in ACM Subject Class I.2.7. Note that work on artificial languages (programming languages, logics, formal systems) that does not explicitly address natural-language issues broadly construed (natural-language processing, computational linguistics, speech, text retrieval, etc.) is not appropriate for this area.;['I.2.7'];http://www.wikidata.org/wiki/Q30642;http://dbpedia.org/resource/Natural_language_processing;https://cso.kmi.open.ac.uk/topics/natural_language_processing;[('Natural Language Processing', 'Discourse', 'Language generation', 'Language models', 'Language parsing and understanding', 'Machine translation', 'Speech recognition and synthesis', 'Text analysis')];;Natural language processing (NLP) is a subfield of linguistics, computer science, information engineering, and artificial intelligence concerned with the interactions between computers and human (natural) languages, in particular how to program computers to process and analyze large amounts of natural language data. Challenges in natural language processing frequently involve speech recognition, natural language understanding, and natural language generation.
cs.CR;Computer Science;Cryptography and Security;Covers all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc. Roughly includes material in ACM Subject Classes D.4.6 and E.3.;['D.4.6', 'E.3'];http://www.wikidata.org/entity/Q3510521;http://dbpedia.org/resource/Computer_security;https://cso.kmi.open.ac.uk/topics/computer_security;[('Security and Protection', 'Access controls', 'Authentication', 'Cryptographic controls', 'Information flow controls', 'Invasive software (e.g., viruses, worms, Trojan horses)', 'Security kernels', 'Verification'), ('DATA ENCRYPTION', 'Code breaking', 'Data encryption standard (DES)', 'Public key cryptosystems', 'Standards (e.g., DES, PGP, RSA)')];the protection of computer systems and networks from theft, damage or data leak;"Computer security, cybersecurity or information technology security (IT security) is the protection of computer systems and networks from the theft of or damage to their hardware, software, or electronic data, as well as from the disruption or misdirection of the services they provide. The field is becoming more important due to increased reliance on computer systems, the Internet and wireless network standards such as Bluetooth and Wi-Fi, and due to the growth of ""smart"" devices, including smartphones, televisions, and the various devices that constitute the ""Internet of things"". Owing to its complexity, both in terms of politics and technology, cybersecurity is also one of the major challenges in the contemporary world."
cs.CV;Computer Science;Computer Vision and Pattern Recognition;Covers image processing, computer vision, pattern recognition, and scene understanding. Roughly includes material in ACM Subject Classes I.2.10, I.4, and I.5.;['I.2.10', 'I.4', 'I.5'];http://www.wikidata.org/entity/Q844240;http://dbpedia.org/resource/Computer_vision;https://cso.kmi.open.ac.uk/topics/computer_vision;[('Vision and Scene Understanding', '3D/stereo scene analysis', 'Architecture and control structures', 'Intensity, color, photometry, and thresholding', 'Modeling and recovery of physical attributes', 'Motion', 'Perceptual reasoning', 'Representations, data structures, and transforms', 'Shape', 'Texture', 'Video analysis'), ('IMAGE PROCESSING AND COMPUTER VISION', 'General', 'Digitization and Image Capture', 'Compression (Coding)', 'Enhancement', 'Restoration', 'Reconstruction', 'Segmentation', 'Feature Measurement', 'Scene Analysis', 'Applications', 'Image Representation', 'Miscellaneous'), ('PATTERN RECOGNITION', 'General', 'Models', 'Design Methodology', 'Clustering', 'Applications', 'Implementation', 'Miscellaneous')];computerized information extraction from images;Computer vision is an interdisciplinary scientific field that deals with how computers can gain high-level understanding from digital images or videos. From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do. Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of high-dimensional data from the real world in order to produce numerical or symbolic information, e.g. in the forms of decisions. Understanding in this context means the transformation of visual images (the input of the retina) into descriptions of the world that make sense to thought processes and can elicit appropriate action. This image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory. The scientific discipline of computer vision is concerned with the theory behind artificial systems that extract information from images. The image data can take many forms, such as video sequences, views from multiple cameras, multi-dimensional data from a 3D scanner or medical scanning device. The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems. Sub-domains of computer vision include scene reconstruction, event detection, video tracking, object recognition, 3D pose estimation, learning, indexing, motion estimation, visual servoing, 3D scene modeling, and image restoration.
cs.CY;Computer Science;Computers and Society;Covers impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education. Roughly includes material in ACM Subject Classes K.0, K.2, K.3, K.4, K.5, and K.7.;['K.0', 'K.2', 'K.3', 'K.4', 'K.5', 'K.7'];;;;[('GENERAL',), ('HISTORY OF COMPUTING', 'Hardware', 'People', 'Software', 'Systems', 'Theory'), ('COMPUTERS AND EDUCATION', 'General', 'Computer Uses in Education', 'Computer and Information Science Education', 'Miscellaneous'), ('COMPUTERS AND SOCIETY', 'General', 'Public Policy Issues', 'Social Issues', 'Organizational Impacts', 'Electronic Commerce', 'Miscellaneous'), ('LEGAL ASPECTS OF COMPUTING', 'General', 'Hardware/Software Protection', 'Governmental Issues', 'Miscellaneous'), ('THE COMPUTING PROFESSION', 'General', 'Occupations', 'Organizations', 'Testing, Certification, and Licensing', 'Professional Ethics', 'Miscellaneous')];;
cs.DB;Computer Science;Databases;Covers database management, datamining, and data processing. Roughly includes material in ACM Subject Classes E.2, E.5, H.0, H.2, and J.1.;['E.2', 'E.5', 'H.0', 'H.2', 'J.1'];http://www.wikidata.org/wiki/Q8513;http://dbpedia.org/resource/Database;https://cso.kmi.open.ac.uk/topics/database;[('DATA STORAGE REPRESENTATIONS', 'Composite structures', 'Contiguous representations', 'Hash-table representations', 'Linked representations', 'Object representation', 'Primitive data items'), ('FILES', 'Backup/recovery', 'Optimization', 'Organization/structure', 'Sorting/searching'), ('GENERAL',), ('DATABASE MANAGEMENT', 'General', 'Logical Design', 'Physical Design', 'Languages', 'Systems', 'Heterogeneous Databases', 'Database Machines', 'Database Administration', 'Database Applications', 'Miscellaneous'), ('ADMINISTRATIVE DATA PROCESSING', 'Business', 'Education', 'Financial (e.g., EFTS)', 'Government', 'Law', 'Manufacturing', 'Marketing', 'Military')];;"A database is an organized collection of data, generally stored and accessed electronically from a computer system. Where databases are more complex they are often developed using formal  techniques. The  (DBMS) is the software that interacts with end users, applications, and the database itself to capture and analyze the data. The DBMS software additionally encompasses the core facilities provided to administer the database. The sum total of the database, the DBMS and the associated applications can be referred to as a ""database system"". Often the term ""database"" is also used to loosely refer to any of the DBMS, the database system or an application associated with the database. Computer scientists may classify database-management systems according to the database models that they support. Relational databases became dominant in the 1980s. These model data as rows and columns in a series of tables, and the vast majority use SQL for writing and querying data. In the 2000s, non-relational databases became popular, referred to as NoSQL because they use different query languages."
